,Product URL,Producy Name,Producy Price,Rating,Number of Reviews
23,https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxMTU4NzYwNDYxNTY2NzQ4OjE2NzU0MTUzOTA6c3BfYXRmX25leHQ6MjAwODIzOTcyMTM4OTg6OjA6Og&url=%2FNORTH-ZONE-backpack-INVALID-DATA_grey%2Fdp%2FB0BH8S9QGH%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675415390%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,NORTH ZONE 30 ltrs ( Cms) backpack(INVALID DATA_grey),₹599,3.7,33
24,https://www.amazon.in//Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1675415390&sprefix=ba%2Caps%2C283&sr=8-19,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",₹299,4.1,"7,630"
25,https://www.amazon.in//Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1675415390&sprefix=ba%2Caps%2C283&sr=8-20,Half Moon 35 ltrs (33 cms)backpack(Navy Laptop Bags_navy blue),₹689,3.9,"14,911"
26,https://www.amazon.in//Hilfiger-Joshua-Backpack-TH-JOSHUALAP01/dp/B07N8GRWTZ/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1675415390&sprefix=ba%2Caps%2C283&sr=8-21,Tommy Hilfiger Joshua 15 inch 21 Ltrs Light Grey Laptop Backpack (TH/JOSHUALAP07),"₹2,239",3.9,364
27,https://www.amazon.in//Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1675415390&sprefix=ba%2Caps%2C283&sr=8-22,"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm","₹1,399",4.1,"6,804"
28,https://www.amazon.in//Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1675415390&sprefix=ba%2Caps%2C283&sr=8-23,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"₹1,247",4.3,"4,878"
29,https://www.amazon.in//F-Gear-Raider-Marpat-Navy-Backpack/dp/B07F1157TV/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1675415390&sprefix=ba%2Caps%2C283&sr=8-24,F Gear Raider 30 Liter Backpack with Rain Cover (.Marpat Navy Digital Camo),₹822,4.2,"2,869"
30,https://www.amazon.in//Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1675415390&sprefix=ba%2Caps%2C283&sr=8-25,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,₹899,3.9,"8,758"
31,https://www.amazon.in//GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1675415390&sprefix=ba%2Caps%2C283&sr=8-26,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,₹249,3.7,"5,922"
32,https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxMTU4NzYwNDYxNTY2NzQ4OjE2NzU0MTUzOTA6c3BfbXRmOjIwMTE0NjA4MDA3NDk4OjowOjo&url=%2FVOKAN-Laptop-Backpack-Charging-Resistant%2Fdp%2FB0BQJLHLXZ%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675415390%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"VOKAN Laptop Backpack bag men With USB Charging Port, Water Resistant 30L (Red)",₹699,5.0,1
33,https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxMTU4NzYwNDYxNTY2NzQ4OjE2NzU0MTUzOTA6c3BfbXRmOjIwMTA3NTk1NzIyMzk4OjowOjo&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB08BYQZYYC%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675415390%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),"₹1,424",4.3,"7,643"
34,https://www.amazon.in//F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1675415390&sprefix=ba%2Caps%2C283&sr=8-29,F Gear Luxur Brown 25 liter Laptop Backpack (2404),"₹1,099",4.4,"16,291"
35,https://www.amazon.in//Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1675415390&sprefix=ba%2Caps%2C283&sr=8-30,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,₹239,4.0,"1,983"
36,https://www.amazon.in//Half-Moon-Backpack-Compartment-Reflective/dp/B0BJ32LQ6X/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1675415390&sprefix=ba%2Caps%2C283&sr=8-31,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9,"2,127"
37,https://www.amazon.in//Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1675415390&sprefix=ba%2Caps%2C283&sr=8-32,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,₹999,4.0,"5,790"
38,https://www.amazon.in//Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1675415390&sprefix=ba%2Caps%2C283&sr=8-33,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,₹798,4.1,913
39,https://www.amazon.in//Storage-Disposable-Freezer-Feeding-Transparent/dp/B099ZZ57FT/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1675415390&sprefix=ba%2Caps%2C283&sr=8-34,"LuvLap Baby Breast Milk Storage Bags (Pack of 25), BPA Free Disposable Milk Freezer Bags for Breast Feeding, Transparent",₹308,4.3,516
40,https://www.amazon.in//Wesley-Waterproof-Backpack-Business-Dimensions/dp/B0BMQ4D59H/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1675415390&sprefix=ba%2Caps%2C283&sr=8-35,Wesley Ignite Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18.5 inches) (Compatible with 39.62cm(15.6inch laptop),₹599,3.8,4
41,https://www.amazon.in//American-Tourister-AMT-SCH-BAG01/dp/B07CJCFNZG/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1675415390&sprefix=ba%2Caps%2C283&sr=8-36,American Tourister Casual Backpack,"₹1,119",4.1,"14,190"
42,https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxMTU4NzYwNDYxNTY2NzQ4OjE2NzU0MTUzOTA6c3BfYnRmOjIwMDQzMzIxMTM2NjA2OjowOjo&url=%2FCOSMUS-Multipurpose-Backpack-Bag-compartment%2Fdp%2FB078JVT384%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675415390%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L","₹1,196",4.2,"2,166"
43,https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxMTU4NzYwNDYxNTY2NzQ4OjE2NzU0MTUzOTA6c3BfYnRmOjIwMDc4OTIwNzc5Mzk4OjowOjo&url=%2FScanSmart-Backpack-Designed-blend-function-612014%2Fdp%2FB09V1GJ7D6%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675415390%26sprefix%3Dba%252Caps%252C283%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"Wenger 17.5"" ScanSmart Laptop Backpack, 30 Litres, Black, Swiss Designed-blend of style & function, 612014","₹5,600",4.0,21
44,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo1NzIwMDAxMDY0NDE0NTI3OjE2NzU0MTUzOTM6c3BfYXRmX25leHQ6MjAxMDQxNDAyNjM2OTg6OjA6Og&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675415393%26sprefix%3Dba%252Caps%252C283%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA385M0TPSNV7VS,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",₹998,3.9,(684)
45,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo1NzIwMDAxMDY0NDE0NTI3OjE2NzU0MTUzOTM6c3BfYXRmX25leHQ6MjAwODIzOTcyMTM4OTg6OjA6Og&url=%2FNORTH-ZONE-backpack-INVALID-DATA_grey%2Fdp%2FB0BH8S9QGH%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675415393%26sprefix%3Dba%252Caps%252C283%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,NORTH ZONE 30 ltrs ( Cms) backpack(INVALID DATA_grey),₹599,3.7,(33)
46,https://www.amazon.in//Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1675415393&sprefix=ba%2Caps%2C283&sr=8-35,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹689,3.9,"(2,693)"
47,https://www.amazon.in//Gear-Polyester-Travel-Duffle-DUFCRSTNG0406/dp/B075MMWRW6/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1675415393&sprefix=ba%2Caps%2C283&sr=8-36,Gear Polyester 74 Cms Duffle Bag(Dufcrstng0406_Grey),₹539,4.1,"(15,917)"
48,https://www.amazon.in//Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1675415393&sprefix=ba%2Caps%2C283&sr=8-37,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit (Black),₹529,4.2,"(3,669)"
49,https://www.amazon.in//Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1675415393&sprefix=ba%2Caps%2C283&sr=8-38,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",₹489,3.8,"(9,820)"
50,https://www.amazon.in//F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1675415393&sprefix=ba%2Caps%2C283&sr=8-39,F Gear String 11 Ltrs Nylon Black Gym Bag,₹189,4.0,(415)
51,https://www.amazon.in//Gear-Vintage2-Leather-Backpack-LBPVG2LTH0201/dp/B07G4D13L7/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1675415393&sprefix=ba%2Caps%2C283&sr=8-40,Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,₹949,4.4,"(3,583)"
52,https://www.amazon.in//SIDRUM-Shoulder-Adjustable-Compatible-Mirrorless/dp/B09P74TZY8/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1675415393&sprefix=ba%2Caps%2C283&sr=8-41,"SIDRUM WF-18 DSLR/SLR Camera Shoulder Bag Case with Adjustable Shoulder Strap & Rain Cover, Compatible for Nikon, Canon, Sony Mirrorless Cameras - Waterproof - Breathable - Anti Shock (Orange-Black)",₹664,4.4,(810)
53,https://www.amazon.in//Skybags-Brat-Green-Casual-Backpack/dp/B08Z21W4TG/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1675415393&sprefix=ba%2Caps%2C283&sr=8-42,Skybags Brat Sea Green 46 Cms Casual Backpack,₹669,4.1,(872)
54,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo1NzIwMDAxMDY0NDE0NTI3OjE2NzU0MTUzOTM6c3BfbXRmOjIwMTE0NjA4MDA4Mzk4OjowOjo&url=%2FVOKAN-Laptop-Backpack-Charging-Resistant%2Fdp%2FB0BQ3ND145%2Fref%3Dsr_1_43_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675415393%26sprefix%3Dba%252Caps%252C283%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"VOKAN Laptop Backpack bag men With USB Charging Port, Water Resistant 30L (Black)",₹699,NA,NA
55,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo1NzIwMDAxMDY0NDE0NTI3OjE2NzU0MTUzOTM6c3BfbXRmOjIwMTE0NjA4MDA3NDk4OjowOjo&url=%2FVOKAN-Laptop-Backpack-Charging-Resistant%2Fdp%2FB0BQJLHLXZ%2Fref%3Dsr_1_44_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675415393%26sprefix%3Dba%252Caps%252C283%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"VOKAN Laptop Backpack bag men With USB Charging Port, Water Resistant 30L (Red)",₹699,5.0,(1)
